repo	stars	lang	fork	archived	readme	license	gitignore	ci	tests	lintcfg	lockfile	manifest	contributing	security	coc	issue_tmpl	pr_tmpl	dependabot	docs_dir	changelog	editorconfig	codeowners	precommit	skills	agent_md	plugins	templates	examples	prompts	schema	mcp	marketplace	hooks	commands
frankbria/ralph-claude-code	9457	Shell	false	false	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0
coreyhaines31/marketingskills	34913	JavaScript	false	false	1	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0
ChinaSiro/claude-code-sourcemap	9454	TypeScript	false	false	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1	1
continuedev/continue	34438	TypeScript	false	false	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	0	1	1	1	1	1	1
getpaseo/paseo	9230	TypeScript	false	false	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	0	1	1	0	0	1	0	1	0	0	1	1
Imbad0202/academic-research-skills	34289	Python	false	false	1	1	1	1	1	0	0	1	1	1	0	0	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	1	1	1
walkinglabs/learn-harness-engineering	9183	TypeScript	false	false	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0
TabbyML/tabby	33651	Rust	false	false	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1
ykdojo/claude-code-tips	8915	HTML	false	false	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0
anthropics/claude-plugins-official	31076	Python	false	false	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1
freecodexyz/free-code	8515	TypeScript	false	false	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1
K-Dense-AI/scientific-agent-skills	29278	Python	false	false	1	1	1	1	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0
Maciek-roboblog/Claude-Code-Usage-Monitor	8271	Python	false	false	1	1	1	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0
iOfficeAI/AionUi	28826	TypeScript	false	false	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	0	1	1	1	0	1	1	0	0	1	1	1	1
getagentseal/codeburn	8246	TypeScript	false	false	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0
googleworkspace/cli	28465	Rust	false	false	1	1	1	1	0	0	1	1	0	1	0	0	1	0	1	1	0	1	0	1	1	0	1	0	0	0	0	1	0	0
anthropics/claude-code-action	8124	TypeScript	false	false	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1
smtg-ai/claude-squad	7915	Go	false	false	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
davila7/claude-code-templates	28287	Python	false	false	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1
assafelovic/gpt-researcher	27898	Python	false	false	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	0	1	0	0	1	0	1	1
Upsonic/Upsonic	7900	Python	false	false	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	1	0	1
eze-is/web-access	7859	JavaScript	false	false	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0
Fincept-Corporation/FinceptTerminal	27463	C++	false	false	1	1	1	1	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1
1jehuang/jcode	7737	Rust	false	false	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	1	1	0	1
BloopAI/vibe-kanban	27140	Rust	false	false	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0
sweepai/sweep	7703	Jupyter Notebook	false	false	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
kestra-io/kestra	27137	Java	false	false	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	0	1	1	0	0	1
AgentWrapper/agent-orchestrator	7653	Go	false	false	1	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0
Fosowl/agenticSeek	26549	Python	false	false	1	1	1	0	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
refly-ai/refly	7400	TypeScript	false	false	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	1
blader/humanizer	26030	?	false	false	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
nexu-io/html-anything	7230	HTML	false	false	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0
jarrodwatts/claude-hud	25730	JavaScript	false	false	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	1	0	1
